created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jul 27 19:32:02 +0000 2022;1552376284138745856;"the fact that he ran back to the office, confessed to her in the same way they met, and even matched her outfit made this the best  “I like you” scene ever.🥹❤️  #extraordinaryattorneywooep9 #extraordinaryattorneywoo #parkeunbin  • #kangtaeoh  #kdrama • #netflix https://t.co/Hc167rjMgd";2;0;6;23;en;1340007327064150016;1552376284138745856;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1552376284138745856
Wed Jul 27 04:01:42 +0000 2022;1552142156453752832;"Trending now: #TAECYEON 4.8 K + tweets of love &amp  appreciation for #Hottest fans of #2PM @OkCat 's big lovable human:  actor, singer, dancer, model &amp  charismatic entertainer ⁦@taeccool⁩ !! Watch him in new movie #Hansan and new #kdrama #Blind ! We appreciate you Taec! 🙏 https://t.co/PKHyoo4Yqb";0;0;2;13;en;286208037;1552142156453752832;audreyandray;https://twitter.com/audreyandray/status/1552142156453752832
Thu Jul 21 22:16:29 +0000 2022;1550243342465650689;"I love them, your honor. 🥹❤️⚖️  #extraordinaryattorneywoo  #parkeunbin • #kangtaeoh  #netflix • #kdrama https://t.co/nfgiEjX83G";0;0;4;6;en;1340007327064150016;1550243342465650689;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1550243342465650689
Thu Jul 21 04:27:41 +0000 2022;1549974367831875585;"Trending now : #LeeJunHo 3.2 K + tweets of love &amp  appreciation for ⁦@follow_leejunho⁩ 's achievements &amp  upcoming fancon #BeforeMidnight_Beyond_Live &amp  #KingTheLand #kdrama ! Go Oppa we believe in you &amp  thank you for everything! #TheActorIsPresent #KoreanActors200 ❤️🎥🎭🤴🏻❤️ https://t.co/lfWBusDYC5";1;0;2;18;en;286208037;1549974367831875585;audreyandray;https://twitter.com/audreyandray/status/1549974367831875585
Wed Jul 20 20:41:32 +0000 2022;1549857061034307585;"Trending now: Lee Junho #LeeJunHo 4.9 K + tweets for our King 🤴🏻 of #KDrama &amp  #KPop ⁦@follow_leejunho⁩ ! Please keep showing him your love for his outstanding dramas, commercials &amp  #2PM and solo #music ! We appreciate you 🌞🙏! #TheActorIsPresent #KoreanActors200 https://t.co/00PLt75Jba";0;0;1;12;en;286208037;1549857061034307585;audreyandray;https://twitter.com/audreyandray/status/1549857061034307585
Tue Jul 19 23:44:18 +0000 2022;1549540666367041536;"2021:                          2022: disney+                      disney+ is getting                    took another  kdramas 😍              #kdrama 🫥 https://t.co/NwCwzOPs6s";0;0;3;3;en;1340007327064150016;1549540666367041536;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1549540666367041536
Thu Jul 14 01:58:04 +0000 2022;1547400003387240449;"“lee junho likes woo youngwoo…is this true?”  -he didn’t even need to answer, the way he looks at her says it all.🥹❤️  #extraordinaryattorneywooep5  #extraordinaryattorneywoo  #parkeunbin • #kangtaeoh  #netflix • #kdrama https://t.co/xogO9i5NXa";0;0;4;8;en;1340007327064150016;1547400003387240449;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1547400003387240449
Tue Jul 12 05:13:27 +0000 2022;1546724396034732033;"The incessant tweets about #AlchemyofSouls2 and the status of the lead actress and everyone's speculation is seriously kinging me off ... we are only into less than half of the 20-episodes for #AlchemyofSouls #kdrama and seriously do not need the story spoilt like that, IMHO.(+)";0;1;0;1;en;8932142;1546724396034732033;toysrevil;https://twitter.com/toysrevil/status/1546724396034732033
Mon Jul 11 02:20:21 +0000 2022;1546318445469470722;"Tô triste demais com o final de #Snowdrop agora vou fazer 10 mil tweets sobre isso porque tô arrasada e não quero sofrer sozinha 😭😭😭 #dorama #JISOO #BLACKPINK #kdrama #JungHaeIn https://t.co/xLRXbrfC8B";0;1;2;9;pt;1461466639954755591;1546318445469470722;Winterriver12;https://twitter.com/Winterriver12/status/1546318445469470722
Sun Jul 10 03:49:52 +0000 2022;1545978584946188289;"From the end of Ep3 preview for Ep4, we'll be seeing more of #JeonBaeSu as #WooYoungWoo's father, in her next stage of #KDRAMA life...! (Which I'll be watching Ep4 after these tweets YAY!)  #iliketeevee #POPCORNX";0;0;0;0;en;8932142;1545978133341278209;toysrevil;https://twitter.com/toysrevil/status/1545978584946188289
Sat Jul 09 03:14:59 +0000 2022;1545607419266359296;"gong chan is too precious for this world.🥺💔🤧   (also #hwanginyoup deserves all the awards for this episode.👏🏆❤️)  #whyherep11 • #whyher • #kdrama https://t.co/oLD6C9FEYY";1;0;11;51;en;1340007327064150016;1545607419266359296;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1545607419266359296
Tue Jul 05 01:19:59 +0000 2022;1544128929539100672;"I am seeing so many tweets about Extraordinary attorney woo And it's tempting me to start watching that drama 🙊  #ExtraordinaryAttorneyWoo #kdrama #kdramatwt";0;0;0;2;en;1250771199769997312;1544128929539100672;Soo__Ah__;https://twitter.com/Soo__Ah__/status/1544128929539100672
Mon Jul 04 09:41:01 +0000 2022;1543892628609048576;"BI Asks for Thirst Tweets &amp  IDs Gave the Best Responses―Here Are Examples | follow for #kpop &amp  #kdrama updates https://t.co/CDWqLd04iQ";0;0;0;0;en;1150449067509440513;1543892628609048576;3PointInsights;https://twitter.com/3PointInsights/status/1543892628609048576
Sun Jul 03 14:11:50 +0000 2022;1543598394912002055;"BI Asks for Thirst Tweets &amp  IDs Gave the Best Responses―Here Are Examples | follow for #kpop &amp  #kdrama updates https://t.co/CDWqLd04iQ";0;0;0;0;en;1150449067509440513;1543598394912002055;3PointInsights;https://twitter.com/3PointInsights/status/1543598394912002055
Sun Jul 03 04:03:55 +0000 2022;1543445408231305216;"Trending now: #이준호_배우9주년_축하해 38.2 K + tweets of praise &amp  respect for #BaeksangArtAwards2022 #BestActor #TheRedSleeve #LeeJunHo star of the upcoming #kdrama #KingTheLand with #LimYoona 💐! Saranghaeyo Jeonha ❤️👑🎥🎭🎞🌼💃🏻🕺🏻🎬🍑🎉 #TheActorIspresent #KoreanActors200 https://t.co/7rfprx9bmX";1;0;2;16;en;286208037;1543445408231305216;audreyandray;https://twitter.com/audreyandray/status/1543445408231305216
Sat Jul 02 23:50:49 +0000 2022;1543381712251396096;"since I’m too invested in this ship and next week probably won’t be fun, I’m just gonna live in this sunrise beachside bubble of happiness for a few more episodes…😌🌅💛  #whyher • #kdrama  #seohyunjin • #hwanginyoup https://t.co/dcO8FVLGaT";0;0;7;27;en;1340007327064150016;1543381712251396096;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1543381712251396096
Sat Jul 02 19:17:35 +0000 2022;1543312949078396929;"Trending now: #이준호_배우9주년_축하해 35.1 K + tweets of love &amp  appreciation for Actor #LeeJunHo 9th Anniversary &amp  his outstanding resumé starting with #ColdEyes thru #TheRedSleeve &amp  upcoming #kdrama #KingTheLand #TheActorIsPresent shine bright 🌟! 🫰⁦@follow_leejunho⁩ ! https://t.co/V2BjAUHnnT";2;0;7;19;en;286208037;1543312949078396929;audreyandray;https://twitter.com/audreyandray/status/1543312949078396929
Sat Jul 02 03:51:26 +0000 2022;1543079878291079168;"BI Asks for Thirst Tweets &amp  IDs Gave the Best Responses―Here Are Examples | follow for #kpop &amp  #kdrama updates https://t.co/CDWqLd04iQ";0;0;0;0;en;1150449067509440513;1543079878291079168;3PointInsights;https://twitter.com/3PointInsights/status/1543079878291079168
Thu Jun 30 23:30:52 +0000 2022;1542651916131487744;"BI Asks for Thirst Tweets &amp  IDs Gave the Best Responses―Here Are Examples | follow for #kpop &amp  #kdrama updates https://t.co/CDWqLd04iQ";0;0;0;0;en;1150449067509440513;1542651916131487744;3PointInsights;https://twitter.com/3PointInsights/status/1542651916131487744
Wed Jun 29 18:24:21 +0000 2022;1542212390032355329;"Trending now: #LeeJunHo 8.5 K + tweets and JunHo Bubble in Hangul 1.5 K + tweets of appreciation for our #KDrama &amp  Commercial King ⁦@dlwnsghek⁩ of ⁦@follow_2PM⁩ ! ❤️👑🎥🥰😎!! We appreciate you! 😎😻 https://t.co/c052RTdhQ1";0;0;3;12;en;286208037;1542212390032355329;audreyandray;https://twitter.com/audreyandray/status/1542212390032355329
Wed Jun 29 15:19:49 +0000 2022;1542165950665224193;"Trending now: #LeeJunHo 7.6 K + tweets and in Hangul JunHo Bubble 1.4 K + tweets of love &amp  appreciation for our beloved Jeonha King of #KDrama &amp  #Baeksang 👑🏆🏆! Thank you fans for tweeting him 🫶! Follow ⁦@dlwnsghek⁩ le2jh IG Leejunho ⁦@YouTube⁩ #KingTheLand !! https://t.co/2POANLGfQL";1;0;0;9;en;286208037;1542165950665224193;audreyandray;https://twitter.com/audreyandray/status/1542165950665224193
Tue Jun 21 19:09:59 +0000 2022;1539324771925737473;"Anyone watch #kdrama? What's on your must-watch list, &amp  why?  Me: #Kingdom. #Zombies + #hanbok. 'nuff said.  (tbf I watch anything w/ zombies so...)";0;0;0;0;en;23528705;1539324771925737473;dreys_tweets;https://twitter.com/dreys_tweets/status/1539324771925737473
Tue Jun 14 06:30:44 +0000 2022;1536596985838415873;"There are so many tweets on my timeline saying Link is amazing Should i start watching it ? Ahh i am busy , but all these tweets are making me want to watch it so badly 🤧  #Link #LinkEatLoveDie #YeoJinGoo #MoonGaYoung #kdrama";0;1;0;2;en;1250771199769997312;1536596985838415873;Soo__Ah__;https://twitter.com/Soo__Ah__/status/1536596985838415873
Mon Jun 13 22:31:53 +0000 2022;1536476479965515777;"In my first watching,I could take captures while watching on netflix but now I can't ..That's why I really want to find my old tweets about #YooSeungHo in #IAmNotARobot #Kdrama 😢";0;0;2;4;en;187706322;1536476057410408448;AmanySowon;https://twitter.com/AmanySowon/status/1536476479965515777
Sun Jun 12 07:22:27 +0000 2022;1535885225980567555;"Translate this kdrama titles into your regional languages (2021-2022) dramas only, Do check below tweets for old dramas list and for some fun translations  #kdramatwt #kdramas #kdrama";2;1;1;2;en;232047904;1535885225980567555;BeingBhaveen;https://twitter.com/BeingBhaveen/status/1535885225980567555
Thu Jun 09 01:19:49 +0000 2022;1534706801563865089;"Now I am looking for my tweets about #IAmNotARobot #Kdrama &amp  especially #YooSeungHo crush when I watched first time in June 2019.";0;1;3;5;en;187706322;1534706539713507328;AmanySowon;https://twitter.com/AmanySowon/status/1534706801563865089
Sun May 29 15:43:18 +0000 2022;1530937838488825857;"Me who is always missing him 😭💗 #GongYoo #kdrama #Tweets https://t.co/sJuVHGFzXA";0;0;2;4;en;1384869838741401602;1530937838488825857;mompiiichetia;https://twitter.com/mompiiichetia/status/1530937838488825857
Sat May 28 07:19:13 +0000 2022;1530448594125332482;"There has been no one, absolutely no one I share 100% with on these #kdrama taste tweets😕 Got to 90% twice but no perfect match.";0;0;0;1;en;386036240;1530448594125332482;bhubaza;https://twitter.com/bhubaza/status/1530448594125332482
Thu May 26 04:32:46 +0000 2022;1529681928009441280;"Every time I start a #kdrama or #cdrama i promise myself: - I will watch one episode and add it to my #MyDramaList  I NEVER do it ... Then I need look at my tweets to update my list 😂😂😂 My list about me: https://t.co/CqgKpQBfwq";0;1;0;3;en;872536265509543937;1529681928009441280;ideas_and_words;https://twitter.com/ideas_and_words/status/1529681928009441280
Wed May 18 09:30:51 +0000 2022;1526857838684823552;"#MyLiberationNotesEp7 #나의해방일지 #MyLiberationNotes #kdrama #MyLiberationNotesEp12 https://t.co/qsAlvV6G9C";0;0;0;3;qme;592339774;1526857838684823552;Divine_Tweets;https://twitter.com/Divine_Tweets/status/1526857838684823552
Mon May 09 09:04:48 +0000 2022;1523589793988235264;"this show is quickly becoming one of my favorite kdramas…it has everything &amp  their chemistry is so good!👏🪄❤️  #fromnowonshowtime • #kdrama  #parkhaejin • #jinkijoo https://t.co/1t4ACPtGqq";0;1;6;24;en;1340007327064150016;1523589793988235264;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1523589793988235264
Sun May 08 02:44:46 +0000 2022;1523131766126485505;"the way this episode was both heartbreaking and heartwarming…not only did it show the love a mother has for her child but also the love a child has for their mother.💞  🌷happy Mother’s Day🌷  #tomorrowep12 • #netflix  #tomorrow • #kdrama https://t.co/YXavnnymbr";0;0;1;7;en;1340007327064150016;1523131766126485505;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1523131766126485505
Thu May 05 20:30:23 +0000 2022;1522312775703408640;"Thank you to my 150 plus followers. I appreciate every single one of you. Thanks for taking the time to like and retweet my tweets. Thanks for not judging me for my #kdrama #cdrama #jdrama addiction and for playing #hashtag games. I wish love, health and happiness to you all. https://t.co/2AH7uaLy6Q";0;0;0;4;en;1453437485825015815;1522312775703408640;pandaeloves;https://twitter.com/pandaeloves/status/1522312775703408640
Thu May 05 18:51:00 +0000 2022;1522287765332840449;"Y aquí foticos promocionales de #Netflix de los 3 protas juntos #JiChangWook, #HwangInYeop y #ChoiSungEun para promocionar su #kdrama original que se estrena mañana #TheSoundofMagic 🎩🔥.   PD: He hecho tweets sueltos porque al final, los últimos tweets de los hilos se ignoran 😅 https://t.co/E6ZgzKZsYn";1;1;5;42;es;1269260854400299010;1522287765332840449;Mis_kdramas;https://twitter.com/Mis_kdramas/status/1522287765332840449
